variant,trial,case,operation,mode,round,items,ns,calls,requested,peak,live,checksum
baseline,2,bit-15-0,query,0,2,4096,23526583,0,0,0,0,6584442294199094370
baseline,2,bit-15-0,build,0,3,2632,1043916,0,0,0,0,3904194795
baseline,2,bit-15-0,query,0,3,4096,24018375,0,0,0,0,6584442294199094370
baseline,2,byte-3-4096,build,0,1,5690,1251500,0,0,0,0,2588134493
baseline,2,byte-3-4096,query,0,1,4096,20872667,0,0,0,0,6584442294199094370
baseline,2,byte-3-4096,build,0,2,5690,1201167,0,0,0,0,2588134493
baseline,2,byte-3-4096,query,0,2,4096,20784291,0,0,0,0,6584442294199094370
baseline,2,byte-3-4096,build,0,3,5690,1197917,0,0,0,0,2588134493
baseline,2,byte-3-4096,query,0,3,4096,20830916,0,0,0,0,6584442294199094370
baseline,2,byte-15-4096,build,0,1,2632,615875,0,0,0,0,1896941275
baseline,2,byte-15-4096,query,0,1,4096,18588792,0,0,0,0,6584442294199094370
baseline,2,byte-15-4096,build,0,2,2632,612833,0,0,0,0,1896941275
baseline,2,byte-15-4096,query,0,2,4096,18671500,0,0,0,0,6584442294199094370
baseline,2,byte-15-4096,build,0,3,2632,630833,0,0,0,0,1896941275
baseline,2,byte-15-4096,query,0,3,4096,19582208,0,0,0,0,6584442294199094370
baseline,2,bit-3-4096,build,0,1,5690,1751125,0,0,0,0,3555944624
baseline,2,bit-3-4096,query,0,1,4096,31688875,0,0,0,0,6584442294199094370
baseline,2,bit-3-4096,build,0,2,5690,1764041,0,0,0,0,3555944624
baseline,2,bit-3-4096,query,0,2,4096,31335584,0,0,0,0,6584442294199094370
baseline,2,bit-3-4096,build,0,3,5690,1772125,0,0,0,0,3555944624
baseline,2,bit-3-4096,query,0,3,4096,30918083,0,0,0,0,6584442294199094370
baseline,2,bit-15-4096,build,0,1,2632,1053000,0,0,0,0,2558807147
baseline,2,bit-15-4096,query,0,1,4096,27543792,0,0,0,0,6584442294199094370
baseline,2,bit-15-4096,build,0,2,2632,1290833,0,0,0,0,2558807147
baseline,2,bit-15-4096,query,0,2,4096,27081875,0,0,0,0,6584442294199094370
